feature,gain,split,window
ATR_20_NORM,13.248582184314728,5,W1
VOLATILITY_20_zscore,3.597401946783066,4,W1
MOM_RATIO,3.0184441208839417,2,W1
BB_WIDTH_rank,3.0110199451446533,1,W1
VOLATILITY_20,1.9320449233055117,2,W1
MOMO_60,1.926708996295929,3,W1
MOM_RATIO_rank,1.808794051408768,3,W1
RSI_14,1.2578400373458862,1,W1
BB_WIDTH_zscore,1.19758802652359,2,W1
MOMO_20_zscore,1.0503699779510498,1,W1
BB_POS,0.909707009792328,1,W1
ATR_20_NORM_zscore,0.8185330033302307,2,W1
BB_WIDTH,0.7443730235099792,1,W1
BB_POS_rank,0.6183630228042603,1,W1
RSI_14_zscore,0.3896139860153198,1,W1
MOM_RATIO_zscore,0.0,0,W1
MOMO_20,0.0,0,W1
BB_POS_zscore,0.0,0,W1
VOL_MA_RATIO_zscore,0.0,0,W1
MOMO_60_zscore,0.0,0,W1
VOL_MA_RATIO_rank,0.0,0,W1
HIGH_LOW_RATIO_rank,0.0,0,W1
VOLATILITY_20_rank,0.0,0,W1
ATR_20_NORM_rank,0.0,0,W1
RSI_14_rank,0.0,0,W1
MOMO_60_rank,0.0,0,W1
MOMO_20_rank,0.0,0,W1
HIGH_LOW_RATIO,0.0,0,W1
VOL_MA_RATIO,0.0,0,W1
HIGH_LOW_RATIO_zscore,0.0,0,W1
ATR_20_NORM,11.427465796470642,5,W2
HIGH_LOW_RATIO,9.350591152906418,4,W2
BB_WIDTH_rank,4.990245997905731,4,W2
BB_WIDTH,4.594640970230103,6,W2
RSI_14,3.536794900894165,3,W2
VOLATILITY_20_zscore,3.485337972640991,3,W2
VOLATILITY_20,3.362868070602417,4,W2
HIGH_LOW_RATIO_zscore,3.056972086429596,2,W2
MOM_RATIO_rank,1.9905409812927248,3,W2
MOMO_20_rank,1.7418040037155151,3,W2
BB_POS_rank,1.7184340357780457,3,W2
MOMO_60_zscore,1.3266770243644714,2,W2
BB_WIDTH_zscore,1.1981079578399658,3,W2
RSI_14_zscore,1.1704869866371157,2,W2
MOM_RATIO,1.0911029875278473,2,W2
BB_POS,1.021340012550354,1,W2
ATR_20_NORM_zscore,0.92467400431633,2,W2
MOMO_20_zscore,0.916047990322113,1,W2
MOMO_20,0.8820229768753052,1,W2
VOL_MA_RATIO_zscore,0.8182410001754761,2,W2
MOMO_60,0.6959670186042786,1,W2
MOM_RATIO_zscore,0.6452310085296631,1,W2
ATR_20_NORM_rank,0.5723119974136353,1,W2
VOL_MA_RATIO,0.4191299974918365,1,W2
HIGH_LOW_RATIO_rank,0.0,0,W2
VOLATILITY_20_rank,0.0,0,W2
BB_POS_zscore,0.0,0,W2
RSI_14_rank,0.0,0,W2
MOMO_60_rank,0.0,0,W2
VOL_MA_RATIO_rank,0.0,0,W2
ATR_20_NORM,9.202561855316162,4,W3
MOMO_60_rank,3.0589669942855835,4,W3
ATR_20_NORM_zscore,3.029449939727783,1,W3
MOMO_60,2.292922079563141,4,W3
BB_POS,1.7797929644584656,3,W3
BB_WIDTH,1.4962949752807615,2,W3
RSI_14,1.3743860125541687,2,W3
HIGH_LOW_RATIO_rank,1.336615025997162,2,W3
BB_WIDTH_rank,1.052240014076233,1,W3
MOM_RATIO_rank,0.7534019947052002,1,W3
VOLATILITY_20,0.454270988702774,1,W3
BB_POS_rank,0.452017992734909,1,W3
RSI_14_rank,0.3984420001506805,1,W3
MOMO_20,0.3658759891986847,1,W3
MOM_RATIO,0.3485290110111236,1,W3
VOLATILITY_20_rank,0.3432660102844238,1,W3
MOM_RATIO_zscore,0.0,0,W3
VOLATILITY_20_zscore,0.0,0,W3
VOL_MA_RATIO_zscore,0.0,0,W3
BB_WIDTH_zscore,0.0,0,W3
BB_POS_zscore,0.0,0,W3
RSI_14_zscore,0.0,0,W3
VOL_MA_RATIO_rank,0.0,0,W3
MOMO_60_zscore,0.0,0,W3
MOMO_20_zscore,0.0,0,W3
ATR_20_NORM_rank,0.0,0,W3
MOMO_20_rank,0.0,0,W3
HIGH_LOW_RATIO,0.0,0,W3
VOL_MA_RATIO,0.0,0,W3
HIGH_LOW_RATIO_zscore,0.0,0,W3
